id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
246,146,Pulippakkam Sivan Temple,Pulippakkam Sivan Temple,"Sri Vyagrapureeswarar, Sri Mangalyam Katha Narayani Ambal, Vinayagar, Subramaniyar, Navagragam, Bhairava, Kubera Lingam, Vyakrapadar, Patanjali Munivar, Kali Devi","On a hill opposite Paranur railway station, near Chengalpattu",Chengalpattu,Chengalpattu,,Dilapidated,Non-Functional,Well-connected,"A very old temple is located on a hill opposite Paranur railway station very close to Chengalpattu.Sage Sri Vyagrapada worshiped the Isaan here, hence the name of the Lord is Sri Vyagrapureeswarar.Ambal Sri Mangalyam Katha Narayani Ambal.The shrines located here are Vinayagar, Subramaniyar, Navagragam, Bhairava, Kubera Lingam, Vyakrapadar, Patanjali Munivar, and Kali  Devi and Sri Raghava Swami Mutt.Sometimes a pooja takes place.Contact Mr. Parthiban-9710058296.There is a bus from Chengalpattu to Pulipakkam. ."
247,147,Ozhalur Temples,Sri Varadaraja Temple,"Sridevi Bhudevi Sametha Sri Varadaraja, Sri Perundevi, Shree Andal, Garuda, Alvars, Hanumar",Olalur village (Ozhalur),Chengalpattu (5 km),,,Intact,Functional,"Bus Route 5, 12 (Chengalpattu-Manapakkam), contact: Mr. Murugan-9944337845, Mr. Mahendran-9677864492","Sri Varadaraja Temple About 5 km from Chengalpat.This temple is located in Olalur village far away.Source: Sridevi Bhudevi Sametha Sri Varadaraja.Sri Perundevi mother in a separate shrine.Shree Andal Sannathi is in North Prakaram.There are shrines for Garuda, Alvars, and Hanumar.This ancient temple has been repaired and now a pooja is held.Contact Mr. Murugan-9944337845, Mr. Mahendran-9677864492.Bus Route 5, 12 (Chengalpattu-Manapakkam) Sri Agastheeswarar Temple The source is Sri Agastheeswarar Ambal Sri Aranangambal Shrines Pancha Goshtha, Vinayagar, Valli Devasena Sametha Subramaniam.Sandikeswarar, Navagragam, Nandi Devar. Thirkulam has the solution. Thala vrutsham vilvam Pooja for a time"
248,147,Ozhalur Temples,Sri Agastheeswarar Temple,"Sri Agastheeswarar, Ambal Sri Aranangambal, Pancha Goshtha, Vinayagar, Valli Devasena Sametha Subramaniam, Sandikeswarar, Navagragam, Nandi Devar",Olalur village (Ozhalur),Chengalpattu,,,,Functional,,"Sri Varadaraja Temple About 5 km from Chengalpat.This temple is located in Olalur village far away.Source: Sridevi Bhudevi Sametha Sri Varadaraja.Sri Perundevi mother in a separate shrine.Shree Andal Sannathi is in North Prakaram.There are shrines for Garuda, Alvars, and Hanumar.This ancient temple has been repaired and now a pooja is held.Contact Mr. Murugan-9944337845, Mr. Mahendran-9677864492.Bus Route 5, 12 (Chengalpattu-Manapakkam) Sri Agastheeswarar Temple The source is Sri Agastheeswarar Ambal Sri Aranangambal Shrines Pancha Goshtha, Vinayagar, Valli Devasena Sametha Subramaniam.Sandikeswarar, Navagragam, Nandi Devar. Thirkulam has the solution. Thala vrutsham vilvam Pooja for a time"
249,149,Vallam Cave Temple,Vallam Cave Temple (Kudai Vara Temple),"['Lord Muruga', 'Dakshinamurthy', 'Saniswaran', 'Chandikeswarar', 'Jeshtadevi', 'Vinayagar', 'Valli Devasena', 'Goddesses', 'Vedanta Ishvara (Shiva)', 'Ambal Gnanambikai (Parvati)', 'Maha Vishnu', 'Goddess Durga']",Vallam village,Chengalpattu,Chengalpattu,Pallava,,,Well-connected,"The Kudai Vara temple built by Pallava Rajan Mahendravarma is located in Vallam village near Chengalpattu.There are two cave temples on the small rock cliff.In the temple above, the idols of Lord Muruga, Dakshinamurthy, Saniswaran, Chandikeswarar, and Jeshtadevi along with Vinayagar, Valli Devasena, and Goddesses are depicted.In the middle of the dwarapalas, the Lord with the name Vedanta Ishvara makes a majestic appearance.On the left is Ambal Gnanambikai shrine.Pallava Chakravarthy also built a temple for Maha Vishnu, who is the lord of the world, Shiva Vishnu.Apart from this, he has also built a separate cave temple for Goddess Durga.There are inscriptions of Rajathirajan gifting cows, gold and bells to King Goparunjasingan.Many interesting sculptures can be seen in the cave temple below.Even today, the sight of the rays of the sun rising like a garland on the Shivalinga Tirumeni can be seen.Contact Mr Chellappa Gurus-9443172894. ."
250,150,Thiruvadisoolam Sivalayan,Thiruvadisoolam Sivalayan,"Sri Adhachuranatha (Swayambu Murthy), Ambal Shri Himalayan Kodhi Nayaki, Sri Brahmandeswarar, Sri Brahmandeswari, Dwara Ganapati, Valli Devasena Murugan, Pancha Goshta Murthys, Bhairava, Chandikeswarar",On Chengalpattu-Tiruporur road,"Chengalpattu, Tiruporur",Chengalpattu,,Intact,Functional,Well-connected,"This ancient Thiruthalam called Thiruitaichuram was sung by Sambandhaperuman.As Swayambu Murthy, Sri Adhachuranatha has a temple in East Partha Sannadi.The temple has two prakarams and in the inner prakaram there are shrines of Dwara Ganapati, Valli Devasena Murugan, Pancha Goshta Murthys, Bhairava and Chandikeswarar.Ambal Shri Himalayan Kodhi Nayaki Shrine is facing south.There are shrines of Sri Brahmandeswarar and Sri Brahmandeswari in the outer prakaram.Temple Thirukulam is seen in the eastern direction of the temple.Temple timings are 7.30 am-11.30 am and 4.30 pm-7.30 pm.Contact Thiru Chellappa Gurus- 9444948937, This temple is located on Chengalpattu-Tiruporur road. If you anoint Shiva with honey and eat it, you can get relief from serious diseases."
251,151,Peramanur Temple,Peramanur Temple,"Shiva Sri Valeeswarar, Ambal Sri Tripurasundari",Peramanur - Singapperumal Temple 3 km,Singapperumal Koil,,,,Functional,,"Shiva Sri Valeeswarar Ambal Sri Tripurasundari Location Peramanur - Singapperumal Temple 3 km. Vali worshiped Eason.A temple has been built and worshiped to the Lord who was outside the cut.A large pond is found in the southern direction of the temple.For more details Mr. Kannan-80562 57312, Mr. Vijayakumar-9840308546, Mr. Udayakumar-9445144475."
252,152,Temples Around Chennai,Palaveli Shiva Temple,"Shiva, Ambal Aadi Nawalairupi, Ganesha with four horns, Valli Devasena Sametha Subramaniar",Brickbattu Bypass,,,,Intact,Functional,Well-connected,"Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
253,152,Temples Around Chennai,Gunnavakkam Sri Dharmalingeswarar,"Sri Dharmalingeswarar, Nandi",Gunnavakkam village,Sinhaperumal temple (5 km),,,Dilapidated,Functional,"Accessible via road, 5 km from Sinhaperumal temple","Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
254,152,Temples Around Chennai,Bama Rukmani Sametha Sri Venugopalaswami,Bama Rukmani Sametha Sri Venugopalaswami,Gunnavakkam village,Sinhaperumal temple (5 km),,,Intact,Functional,"Near Gunnavakkam Shiva temple, well-maintained by local family","Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
255,152,Temples Around Chennai,Sri Tambugheswarar Temple,"Sri Tambugheswarar, Ambal Sri Tamira Varneswari",Karunilam village,Sinhaperumal temple (5 km),,,Dilapidated,Non-Functional,"5 km from Sinhaperumal temple, new temple under construction","Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
256,152,Temples Around Chennai,Sri Pasupadeeswarar Temple,Sri Pasupadeeswarar,"1 km west of Potheri, border of Konathi village",Potheri,,,Dilapidated,Functional,"Near Potheri, next to Chennai, puja only on Pradosham","Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
257,152,Temples Around Chennai,Katangulathur Temple,"Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai, Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn",West side of Katangulathur railway station,Katangulathur,,,Intact,Functional,"Well-connected, near railway station, temple timings 7-9.30 AM, 5.30-7.30 PM","Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
258,152,Temples Around Chennai,Vandalur Sri Varadarajaperumal Temple,"Srivaradaja Perumal, Sridevi Bhoodevi Samethar",West side of Vandalur railway station,Vandalur,,,Intact,Functional,"Well-connected, near railway station, near Thirukkulam, daily pujas","Palaveli Shiva Temple Shiva is the wise prince of Adi Kuberapuri. Ambal Aadi Nawalairupi Location Brickbattu Bypass ( History Sivalinga Thirumeni Narmada Panam.Adi Siddha The worshiped Lord.. Ganesha with four horns Valli Devasena Sametha Subramaniar Shrines Contact Mr. Kesavan-9444149583, Mr. Ganesh-9940617501.  Gunnavakkam Sri Dharmalingeswarar Some time ago, the people of this village have taken the Shivlinga Thirumeni lying in a thornbush and built a small shed to worship it.Lord Thirunama Sri Dharmalingeswarar.The Nandi statue has been newly installed.This temple is 5 km from Sinhaperumal temple.Contact Mr Dhananjezhiyan (9884864590), Mr Suryan-7373592318, Mr Vinod-8144411510. Bama Rukmani Sametha Sri Venugopalaswami is the deity of Perumal temple located in this Gunnavakkam village.He holds a flute in his left hand.It is said that the Utsavar here came here from outside.Poojas are held here regularly. The family near the temple is taking care of it very diligently.All the celebrations are going well. Contact Mr. Balaji-9444091200, Mr. Murali- 8940478850. Sri Tambugheswarar Temple In this village called Karunilam, the big Shivalayam was destroyed in the floods and only Shiva Lingam and Nandi are left.. A new temple is being built.Lord Thirunama Sri Tambugheswarar.Ambal Sri Tamira Varneswari., and all other idols are newly placed.. For more details Mr. Kuppusamy - 9677802409, Mr. Rajendran-7401129330. Karunilam is 5 km from Sinhaperumal temple.  Sri Pasupadeeswarar Temple About 1 km west of Potheri next to Chennai.This Shiva temple is located on the border of Konathi village located far away.A strip in the barn.Thirukkulam is found nearby.. Puja is offered here only on Pradosham.Contact Mr Sasikumar-9840056301, Mr Senthil-9677234323. Katangulathur Temple Location West side of the railway station Located in the middle. Shiva, Ambal Sri Kalatheeswarar, Sri Gnanambikai. Other shrines include Dharma Nandi, Ganesha, Murugan, Kala Bhairava, Lord Sun, Lord Saturn, History Swami Kanda's Serpent First The site of Kalahastheeswarar in the north After coming and worshiping here He worshiped Eason.All kinds of dragons As a place of relief for Dosha too considered. Rahu Ketu Parikaram Every Sunday 4.30 PM to 6.00 PM Parikara Puja is held here till Temple Timings 7-9.30 AM, 5.30-7.30 PM Contact Mr. Lakshmanan-9445286005 Vandalur Sri Varadarajaperumal Temple This Perumal temple is located on the west side of Vandalur railway station.Srivaradaja Perumal as Sridevi Bhoodevi Samethar in the ancient stone temple gives a view to the east.It is lit and lit here daily.The temple is also near Thirukkulam.Contact Mr. Karthik-9994454234, Mr. Satish-9841603483, Mr. Premkumar- 8939039147. ."
259,153,"Melacheri, Siva Temple",Melacheri Siva Temple,"Lord Shiva, Ambal (Parvati), Nandi","Melacheri village, on branch road to Balur village on Chengalpattu-Wallajabad road",Balur village,Chengalpattu,,Dilapidated,Non-Functional,Well-connected,"On the branch road going to Balur village on the Chengalpattu-Wallajabad road, next to Balur is a small town called Melacheri.The Lord who was here appeared when he cleared the area which was thick with thorn bushes in recent times.A tall pan on top of the square Audaiyar towards the east.Ambal Thiruruvam looking towards the south at a little distance.Formerly broken Nandi idol of Shiva.Looking at this place, it seems that there must have been a huge temple with a flagpole and a tower.. Currently there is none. But since the day it was found, the villagers have been doing pooja to this Lord with great enthusiasm.They are also committed to complete the construction of the temple very soon.. It seems that the temple will be built very soon due to their hard work and God's grace.Those who want to participate in this charity can contact the below mentioned persons.Mr. Parthiban (9444865777) Mr. Murugan (9176666161) Mr. Nagarajan (8489980602) Mr. Yuvraj (9944190086)"
260,154,Kalavakkam Temple,Kalavakkam Temple,"Shiva (Thenupuriswarar), Nandi",Kalavakkam village,Kelambakkam,Chengalpattu,Pallava,Dilapidated,Functional,"Remote (through fields, 10 km from Kelambakkam)","Kelambakkam is about 2 kms on the road going west near Tiruporur Road.Far away is a small village called Kalavakkam.A Shiva Lingam is seen on top of a hill if you pass through the fields in this village.Nearby is a broken Nandi idol.There are traces of the temple's earlier existence.When the people of the village saw a problem about this, it is a proud place worshiped by Eesan Kamadenu in this place.So the Lord also took the name Thenupuriswarar.It is also known that during the period of the Pallava kings, they were in a state of greatness. The people of the town are trying to build a small temple for this special Lord with great enthusiasm.Those who want to be involved in this serious work can contact the persons mentioned below.Presently the puja is held only on Pradosha.Mr. Jagajeevanram (9445406142), Mr. Munusamy (9962596849), Mr. Bala Subramanian (9566089413) Mr. Raja Purushottaman (8695727515) This village is about 10 km from Kelambakkam. College"
261,155,Chinnavenmani Sri Bhimeswarar Temple,Chinnavenmani Sri Bhimeswarar Temple,"Sri Bhimeswarar (Shiva), Sri Anandavalli (Ambal), Vinayagar, Dakshinamurthy, Maha Vishnu, Brahma, Durgai, Ganapati, Valli Devasena Sametha Subramanyar, Ayyappan, Gajalakshmi, Chandikeswarar, Bhairava, Navagraha",Chinna Venmani,Seyyur (11 km),,,,Functional,"Well-connected by bus (Chennai-Seyyur route 83, Maduranthagam-Seyyur route T6, bus stop Kalpattu)","In this temple, which dates back to about 2000 years ago, Bhimasenan worshiped Eesan with the name Sri Bhimeswarar.East facing shrine.AmbalSri Anandavalli shrine is towards south.There are shrines of Vinayagar, Dakshinamurthy, Maha Vishnu, Brahma and Durgai in Shiva Koshta.Among the individual shrines in the prakaram, one can visit the deities of Ganapati, Valli Devasena Sametha Subramanyar, Ayyappan, and Gajalakshmi. Near Chandikeswarar, there is an adishtana of a Siddha.There are Bhairava, and Navagraha shrines.Thala vrutsham vilvam.The temple is opposite Thirukkulam.Perhaps the puja takes place here.Festivals like Pradosham, Annabhishekam, Shivratri, Tiruvadhirai, Thirukarthikai are held.Contact Mr. Perumal-9566591567, 9566781523, Mr. Ellappan-9443209278, Mr.Subramani Iyer-9841413405 The temple is located at Chinna Venmani- 11 km from Seyyur.Bus Chennai-Seyyur (83) Maduranthagam-Seyyur (T6) bus stop Kalpattu"
